<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
YNDX,D,20230420,000000,1998.4000000,2100.0000000,1963.2000000,2098.6000000,1934542
YNDX,D,20230421,000000,2106.6000000,2128.6000000,2062.0000000,2086.8000000,1228499
YNDX,D,20230424,000000,2088.2000000,2108.2000000,2065.8000000,2080.0000000,504264
YNDX,D,20230425,000000,2086.4000000,2088.2000000,2044.0000000,2059.4000000,408219
YNDX,D,20230426,000000,2064.0000000,2125.0000000,2059.6000000,2113.0000000,1088025
YNDX,D,20230427,000000,2123.2000000,2159.0000000,2082.0000000,2101.6000000,1688385
YNDX,D,20230428,000000,2103.0000000,2108.0000000,2050.2000000,2070.6000000,624462
YNDX,D,20230502,000000,2075.0000000,2099.0000000,1980.0000000,2015.0000000,1005583
YNDX,D,20230503,000000,2020.2000000,2021.6000000,1922.2000000,1930.4000000,1078287
YNDX,D,20230504,000000,1935.0000000,1992.4000000,1930.2000000,1979.6000000,709407
YNDX,D,20230505,000000,1979.0000000,1988.2000000,1946.2000000,1948.0000000,425180
YNDX,D,20230508,000000,1949.6000000,1969.0000000,1930.4000000,1943.0000000,165104
YNDX,D,20230510,000000,1950.2000000,2012.0000000,1945.8000000,2008.8000000,656703
YNDX,D,20230511,000000,2025.0000000,2052.0000000,1961.0000000,2007.2000000,1232151
YNDX,D,20230512,000000,2000.0000000,2017.0000000,1991.0000000,2012.0000000,351201
YNDX,D,20230515,000000,2019.0000000,2050.0000000,2013.2000000,2049.6000000,412179
YNDX,D,20230516,000000,2056.6000000,2063.6000000,2022.0000000,2045.6000000,368067
YNDX,D,20230517,000000,2047.4000000,2077.8000000,2028.0000000,2058.0000000,452798
YNDX,D,20230518,000000,2065.2000000,2072.8000000,2026.0000000,2032.8000000,442803
YNDX,D,20230519,000000,2033.0000000,2285.4000000,2020.0000000,2223.2000000,6556578
YNDX,D,20230522,000000,2300.2000000,2371.4000000,2235.0000000,2300.0000000,3706710
YNDX,D,20230523,000000,2315.6000000,2330.0000000,2212.2000000,2242.8000000,1419528
YNDX,D,20230524,000000,2244.0000000,2256.4000000,2172.2000000,2220.0000000,1035691
YNDX,D,20230525,000000,2223.0000000,2350.0000000,2165.6000000,2350.0000000,3407501
YNDX,D,20230526,000000,2355.0000000,2357.6000000,2294.2000000,2322.0000000,1086132
YNDX,D,20230529,000000,2334.8000000,2410.0000000,2295.6000000,2390.0000000,1486072
YNDX,D,20230530,000000,2314.8000000,2385.0000000,2263.0000000,2303.6000000,1688009
YNDX,D,20230531,000000,2298.6000000,2353.0000000,2244.2000000,2324.2000000,1036049
YNDX,D,20230601,000000,2328.0000000,2356.0000000,2294.8000000,2313.4000000,658567
YNDX,D,20230602,000000,2324.0000000,2348.0000000,2292.2000000,2343.6000000,556883
YNDX,D,20230605,000000,2340.0000000,2383.2000000,2282.0000000,2305.8000000,928435
YNDX,D,20230606,000000,2293.6000000,2334.6000000,2260.2000000,2323.2000000,679461
YNDX,D,20230607,000000,2324.0000000,2430.0000000,2310.6000000,2425.4000000,1489138
YNDX,D,20230608,000000,2427.2000000,2523.0000000,2426.0000000,2520.0000000,2586239
YNDX,D,20230609,000000,2532.4000000,2557.0000000,2481.0000000,2506.6000000,1358360
YNDX,D,20230613,000000,2506.4000000,2568.0000000,2470.0000000,2566.8000000,944727
YNDX,D,20230614,000000,2571.6000000,2655.0000000,2550.4000000,2620.0000000,1534499
YNDX,D,20230615,000000,2637.2000000,2649.0000000,2557.0000000,2600.0000000,1329104
YNDX,D,20230616,000000,2608.0000000,2615.0000000,2500.8000000,2547.0000000,2370797
